dataset,budget,method,query,seed_mean,seed_std,query_l1_distortion_mean,query_l1_distortion_std,runtime_sec_mean,runtime_sec_std,n_entities_mean,n_entities_std
wine,0.2,dependency_truth,geo_join_groupby,21.0,,0.0,,0.6764707160000398,,178.0,
wine,0.2,dependency_truth,having_top_groups,21.0,,0.0,,0.6764707160000398,,178.0,
wine,0.2,dependency_truth,selection_groupby,21.0,,0.0,,0.6764707160000398,,178.0,
wine,0.2,iterative_truth,category_join_filter,21.0,,0.0,,0.4773449780000192,,178.0,
wine,0.2,iterative_truth,geo_join_groupby,21.0,,0.0,,0.4773449780000192,,178.0,
wine,0.2,iterative_truth,having_top_groups,21.0,,0.0,,0.4773449780000192,,178.0,
wine,0.2,iterative_truth,selection_groupby,21.0,,0.0,,0.4773449780000192,,178.0,
wine,0.2,majority,category_join_filter,21.0,,0.0382891946633611,,0.260817212999882,,178.0,
wine,0.2,majority,geo_join_groupby,21.0,,0.0222372362514428,,0.260817212999882,,178.0,
wine,0.2,majority,having_top_groups,21.0,,0.0765783893267223,,0.260817212999882,,178.0,
wine,0.2,majority,selection_groupby,21.0,,0.0765783893267223,,0.260817212999882,,178.0,
wine,0.2,no_repair,category_join_filter,21.0,,0.8315128822903356,,0.15463326400004,,178.0,
wine,0.2,no_repair,geo_join_groupby,21.0,,0.6427241497045044,,0.15463326400004,,178.0,
wine,0.2,no_repair,having_top_groups,21.0,,1.0604956062642703,,0.15463326400004,,178.0,
wine,0.2,no_repair,selection_groupby,21.0,,1.0853929081181024,,0.15463326400004,,178.0,
wine,0.2,parc,category_join_filter,21.0,,0.0,,0.7519817819998025,,178.0,
wine,0.2,parc,geo_join_groupby,21.0,,0.0,,0.7519817819998025,,178.0,
wine,0.2,parc,having_top_groups,21.0,,0.0,,0.7519817819998025,,178.0,
wine,0.2,parc,selection_groupby,21.0,,0.0,,0.7519817819998025,,178.0,
