query,budget,method,query_l1_distortion_mean,query_l1_distortion_std,runtime_sec_mean,runtime_sec_std,n_entities_mean
join_filter_dim,0.2,dependency_truth,0.002385642733062446,0.0027677885084992195,0.6930259090000064,0.41755071437750335,334.75
join_filter_dim,0.2,iterative_truth,0.011754121747115275,0.007471512251944709,0.5344969049999762,0.3185097825433393,334.75
join_filter_dim,0.2,majority,0.0232186502524867,0.006693923939316758,0.20836743600003158,0.12903344045039614,334.75
join_filter_dim,0.2,no_repair,0.7615629013444942,0.03618228181951819,0.1687705542500239,0.10178044259780898,334.75
join_filter_dim,0.2,parc,0.0027290419349270587,0.0035465008103158263,0.7658342397499923,0.4741345763722485,334.75
join_filter_dim,0.3,dependency_truth,0.004493371000449025,0.004408682842806168,0.6950138965000505,0.4346877603859363,334.75
join_filter_dim,0.3,iterative_truth,0.03876296794268427,0.017148912007984213,0.5018998667500156,0.31692174802438927,334.75
join_filter_dim,0.3,majority,0.12632357279986145,0.02367777301419194,0.21682637949996314,0.11284940848079189,334.75
join_filter_dim,0.3,no_repair,0.7815989523604563,0.010964513149509228,0.15540127274997667,0.075254433571055,334.75
join_filter_dim,0.3,parc,0.0044322455763478,0.0044668179023420905,0.7601197212499855,0.47857702016715575,334.75
left_join_geo,0.2,dependency_truth,0.0083826831240126,0.008694581971468197,0.6930259090000064,0.41755071437750335,334.75
left_join_geo,0.2,iterative_truth,0.021025152025248676,0.020311167991672437,0.5344969049999762,0.3185097825433393,334.75
left_join_geo,0.2,majority,0.014023270557108823,0.013157738700109766,0.20836743600003158,0.12903344045039614,334.75
left_join_geo,0.2,no_repair,0.5255195833984999,0.11030842752460526,0.1687705542500239,0.10178044259780898,334.75
left_join_geo,0.2,parc,0.008046096845385925,0.007936627472646946,0.7658342397499923,0.4741345763722485,334.75
left_join_geo,0.3,dependency_truth,0.009279527069537975,0.009824173911456843,0.6950138965000505,0.4346877603859363,334.75
left_join_geo,0.3,iterative_truth,0.0496705857376921,0.011700116964876717,0.5018998667500156,0.31692174802438927,334.75
left_join_geo,0.3,majority,0.08543739017267934,0.02683353142894594,0.21682637949996314,0.11284940848079189,334.75
left_join_geo,0.3,no_repair,0.363689617051365,0.07107003524369622,0.15540127274997667,0.075254433571055,334.75
left_join_geo,0.3,parc,0.00921840164543675,0.009889920103766265,0.7601197212499855,0.47857702016715575,334.75
nested_exists,0.2,dependency_truth,0.002385642733062446,0.0027677885084992195,0.6930259090000064,0.41755071437750335,334.75
nested_exists,0.2,iterative_truth,0.011754121747115275,0.007471512251944709,0.5344969049999762,0.3185097825433393,334.75
nested_exists,0.2,majority,0.0232186502524867,0.006693923939316758,0.20836743600003158,0.12903344045039614,334.75
nested_exists,0.2,no_repair,0.7615629013444942,0.03618228181951819,0.1687705542500239,0.10178044259780898,334.75
nested_exists,0.2,parc,0.0027290419349270587,0.0035465008103158263,0.7658342397499923,0.4741345763722485,334.75
nested_exists,0.3,dependency_truth,0.004493371000449025,0.004408682842806168,0.6950138965000505,0.4346877603859363,334.75
nested_exists,0.3,iterative_truth,0.03876296794268427,0.017148912007984213,0.5018998667500156,0.31692174802438927,334.75
nested_exists,0.3,majority,0.12632357279986145,0.02367777301419194,0.21682637949996314,0.11284940848079189,334.75
nested_exists,0.3,no_repair,0.7815989523604563,0.010964513149509228,0.15540127274997667,0.075254433571055,334.75
nested_exists,0.3,parc,0.0044322455763478,0.0044668179023420905,0.7601197212499855,0.47857702016715575,334.75
select_project,0.2,dependency_truth,0.003470805701633496,0.004870702324316273,0.6930259090000064,0.41755071437750335,334.75
select_project,0.2,iterative_truth,0.026196947997690727,0.009589669479854578,0.5344969049999762,0.3185097825433393,334.75
select_project,0.2,majority,0.0508811166415771,0.017673278331136234,0.20836743600003158,0.12903344045039614,334.75
select_project,0.2,no_repair,1.1143602754214614,0.10134208138325333,0.1687705542500239,0.10178044259780898,334.75
select_project,0.2,parc,0.003814204903498084,0.005682429921032039,0.7658342397499923,0.4741345763722485,334.75
select_project,0.3,dependency_truth,0.007517850258112125,0.009363762096701075,0.6950138965000505,0.4346877603859363,334.75
select_project,0.3,iterative_truth,0.10813996142894722,0.030147288298358308,0.5018998667500156,0.31692174802438927,334.75
select_project,0.3,majority,0.3052339075449304,0.07178236769540958,0.21682637949996314,0.11284940848079189,334.75
select_project,0.3,no_repair,1.383813833494903,0.07672922220572673,0.15540127274997667,0.075254433571055,334.75
select_project,0.3,parc,0.0074567248340109,0.009417484372556158,0.7601197212499855,0.47857702016715575,334.75
topk_order_limit,0.2,dependency_truth,0.003470805701633496,0.004870702324316273,0.6930259090000064,0.41755071437750335,334.75
topk_order_limit,0.2,iterative_truth,0.026196947997690727,0.009589669479854578,0.5344969049999762,0.3185097825433393,334.75
